,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
130,SA1_m03_v10_Ye05_spec_2020-07-10.dat,0.03,0.1,0.05,34.95859381360045,0.0881556892607307,0.080141535691574,1.1483792911231778,25805,0.08414861247615235
131,SA1_m03_v10_Ye10_spec_2020-07-10.dat,0.03,0.1,0.1,24.949546508106774,0.05163628920374563,0.05163628920374563,1.7677443526526455,25805,0.05163628920374563
132,SA1_m03_v10_Ye15_spec_2020-07-10.dat,0.03,0.1,0.15,49.80959593535279,0.12028240815540414,0.12028240815540414,0.8384287838562948,25805,0.12028240815540414
133,SA1_m03_v10_Ye20_spec_2020-07-10.dat,0.03,0.1,0.2,3.799342641262015,0.005613840950017934,0.0014034602375043725,30.50771155214648,25805,0.0035086505937611534
134,SA1_m03_v10_Ye25_spec_2020-07-10.dat,0.03,0.1,0.25,0.4565372257390988,0.00031557096150369723,0.00021038064100242782,251.91251085517686,25805,0.0002629758012530625
135,SA1_m03_v10_Ye30_spec_2020-07-10.dat,0.03,0.1,0.3,0.6614677147458261,0.000730617997845795,0.000243539332615339,218.9016287557165,25805,0.000487078665230567
136,SA1_m03_v10_Ye35_spec_2020-07-10.dat,0.03,0.1,0.35,0.45065224502319606,0.0004905219796176308,0.00016350732653924727,176.63395631588565,25805,0.000327014653078439
137,SA1_m03_v10_Ye40_spec_2020-07-10.dat,0.03,0.1,0.4,0.8971321902869468,0.0009893667549668583,0.0003297889183222491,76.32790623885975,25805,0.0006595778366445537
138,SA1_m03_v10_Ye45_spec_2020-07-10.dat,0.03,0.1,0.45,0.05230812607992487,0.04230812607992487,5.282572865521196e-06,25.423306905441258,25805,0.021156704326395194
139,SA1_m03_v10_Ye50_spec_2020-07-10.dat,0.03,0.1,0.5,0.9411349484513746,0.0006910092381827715,0.00034550461909144126,534.5914456134855,25805,0.0005182569286371064
140,SA1_m03_v15_Ye05_spec_2020-09-17.dat,0.03,0.15,0.05,37.9868359748548,0.07818711791064459,0.07384338913782784,1.1050847163790924,25299,0.07601525352423621
141,SA1_m03_v15_Ye10_spec_2020-09-17.dat,0.03,0.15,0.1,31.188998074057196,0.06427618907766686,0.060705289684459984,1.3104305823758287,25299,0.06249073938106342
142,SA1_m03_v15_Ye15_spec_2020-09-17.dat,0.03,0.15,0.15,37.24876836421924,0.07271524223173031,0.0641605078515326,1.3694886615384936,25299,0.06843787504163146
143,SA1_m03_v15_Ye20_spec_2020-09-17.dat,0.03,0.15,0.2,6.862022817126621,0.012625306831124838,0.010258061800288765,7.67560663504722,25299,0.011441684315706802
144,SA1_m03_v15_Ye25_spec_2020-09-17.dat,0.03,0.15,0.25,0.35628370371461193,0.0003874864271330991,0.0001291621423776812,167.89601637859212,25299,0.00025832428475539015
145,SA1_m03_v15_Ye30_spec_2020-09-17.dat,0.03,0.15,0.3,0.5369628537874184,0.0005918714194542707,0.00019729047315131254,173.3938389595653,25299,0.0003945809463027916
146,SA1_m03_v15_Ye35_spec_2020-09-17.dat,0.03,0.15,0.35,0.4201547074291579,0.00045708176905179254,0.00015236058968393085,143.0611994908426,25299,0.0003047211793678617
147,SA1_m03_v15_Ye40_spec_2020-09-17.dat,0.03,0.15,0.4,0.3580919737078997,0.0005166485695107803,0.0002583242847554179,61.82712957435095,25299,0.0003874864271330991
148,SA1_m03_v15_Ye45_spec_2020-09-17.dat,0.03,0.15,0.45,0.01237958560159061,0.002379585601590609,4.0019939481772404e-07,76.5895635200127,25299,0.0011899929004927133
149,SA1_m03_v15_Ye50_spec_2020-09-17.dat,0.03,0.15,0.5,0.9025142545285088,0.0006673003772176278,0.0003336501886087584,447.63812433514875,25299,0.0005004752829131931
150,SA1_m03_v20_Ye05_spec_2020-07-10.dat,0.03,0.2,0.05,46.14470432012627,0.09510870969319996,0.08982489248801784,1.1963809068527516,24793,0.0924668010906089
151,SA1_m03_v20_Ye10_spec_2020-07-10.dat,0.03,0.2,0.1,51.3988590763547,0.10550312772592463,0.0937805579785973,1.2714282896716917,24793,0.09964184285226096
152,SA1_m03_v20_Ye15_spec_2020-07-10.dat,0.03,0.2,0.15,65.00954608581611,0.14185724976937308,0.12692490768837672,1.0089115274909837,24793,0.1343910787288749
153,SA1_m03_v20_Ye20_spec_2020-07-10.dat,0.03,0.2,0.2,13.266453232282661,0.01974890611885627,0.009874453059428134,10.253820328552834,24793,0.014811679589142202
154,SA1_m03_v20_Ye25_spec_2020-07-10.dat,0.03,0.2,0.25,0.3936695889076233,0.00043092802947319875,0.00014364267649102924,157.56946767548686,24793,0.000287285352982114
155,SA1_m03_v20_Ye30_spec_2020-07-10.dat,0.03,0.2,0.3,1.236567837388215,0.0013699566314835376,0.00045665221049451254,118.37399083294116,24793,0.0009133044209890251
