,Unnamed: 0,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
125,125,SA1_m03_v15_Ye40_spec_2020-09-17.dat,0.03,0.15,0.4,0.3580823616833017,0.07161647233666034,0.07161647233666034,61.82711561464063,25299,0.07161647233666034
127,127,SA1_m05_v15_Ye15_spec_2020-09-17.dat,0.05,0.15,0.15,32.170661452076935,6.434132290415388,6.434132290415388,1.0719669049386171,25299,6.434132290415388
128,128,SA1_m05_v15_Ye20_spec_2020-09-17.dat,0.05,0.15,0.2,5.567787267429821,1.1135574534859642,1.1135574534859642,8.549620654258613,25299,1.1135574534859642
129,129,SA1_m05_v15_Ye25_spec_2020-09-17.dat,0.05,0.15,0.25,0.3279952674202475,0.0655990534840495,0.0655990534840495,186.5999019988772,25299,0.0655990534840495
130,130,SA1_m05_v15_Ye30_spec_2020-09-17.dat,0.05,0.15,0.3,0.4853016527172229,0.0970603305434446,0.0970603305434446,185.9225092889514,25299,0.0970603305434446
131,131,SA1_m05_v15_Ye35_spec_2020-09-17.dat,0.05,0.15,0.35,0.3827038265323565,0.0765407653064713,0.0765407653064713,152.27125657042174,25299,0.0765407653064713
132,132,SA1_m05_v15_Ye40_spec_2020-09-17.dat,0.05,0.15,0.4,0.3386024974787196,0.06772049949574392,0.06772049949574392,65.2284854946724,25299,0.06772049949574392
134,134,SA1_m08_v15_Ye15_spec_2020-09-17.dat,0.08,0.15,0.15,28.14800101452568,5.629600202905136,5.629600202905136,0.8940833055453673,25299,5.629600202905136
135,135,SA1_m08_v15_Ye20_spec_2020-09-17.dat,0.08,0.15,0.2,4.657049450846358,0.9314098901692717,0.9314098901692717,9.383064625446211,25299,0.9314098901692717
136,136,SA1_m08_v15_Ye25_spec_2020-09-17.dat,0.08,0.15,0.25,0.3034252982215232,0.060685059644304644,0.060685059644304644,202.85462300380564,25299,0.060685059644304644
137,137,SA1_m08_v15_Ye30_spec_2020-09-17.dat,0.08,0.15,0.3,0.4432519338260603,0.08865038676521207,0.08865038676521207,195.2849556898944,25299,0.08865038676521207
138,138,SA1_m08_v15_Ye35_spec_2020-09-17.dat,0.08,0.15,0.35,0.3551714711950302,0.07103429423900604,0.07103429423900604,161.00772238789023,25299,0.07103429423900604
139,139,SA1_m08_v15_Ye40_spec_2020-09-17.dat,0.08,0.15,0.4,0.3218248601497406,0.06436497202994812,0.06436497202994812,66.73629026237786,25299,0.06436497202994812
